Week number,Start Date,Location (county),Latitude,Longitude,AvgTemp,AvgPressure,AvgWindSpeed,Total number of birds testing positive
Week 48 (2020),11/23/2020,Cornwall,50.5036,4.6525,6.0,1021.4785714999998,10.577323215000003,1.0
Week 48 (2020),11/23/2020,Devon,50.7156,3.5309,6.271428571,1021.414286,10.577323215000003,1.0
Week 48 (2020),11/23/2020,Devon,50.7156,3.5309,6.271428571,1021.414286,10.577323215000003,1.0
Week 48 (2020),11/23/2020,Dorset,50.7488,2.3445,8.1,1020.957143,14.2,1.0
Week 48 (2020),11/23/2020,Gloucestershire,51.8642,2.2382,10.12843166,1015.098261,19.80559404,1.0
Week 48 (2020),11/23/2020,Warwarckshire,52.2671,1.4689,6.6,1020.014286,12.0,1.0
Week 48 (2020),11/23/2020,Suffolk,52.1872,0.9708,5.971428571,1020.4,11.1,1.0
Week 48 (2020),11/23/2020,Kent,51.2787,0.5217,6.885714286,1019.985714,10.577323215000003,1.0
Week 48 (2020),11/23/2020,Staffordshire,52.88,2.12,10.12843166,1015.098261,19.80559404,1.0
Week 48 (2020),11/23/2020,Dorset,50.7488,2.3445,8.1,1020.957143,14.2,1.0
Week 48 (2020),11/23/2020,Dorset,50.7488,2.3445,8.1,1020.957143,14.2,3.5
Week 48 (2020),11/23/2020,Gloucestershire,51.8642,2.2382,10.12843166,1015.098261,19.80559404,3.0
Week 48 (2020),11/23/2020,Gloucestershire,51.8642,2.2382,10.12843166,1015.098261,19.80559404,1.0
Week 48 (2020),11/23/2020,Oxfordshire,51.7613,1.2464,10.12843166,1015.098261,19.80559404,1.0
Week 48 (2020),11/23/2020,Surrey,51.24,0.59,11.01428571,1021.4785714999998,14.37142857,1.0
Week 48 (2020),11/23/2020,Essex,51.776,0.179,6.157142857,1019.9,10.577323215000003,1.0
Week 48 (2020),11/23/2020,Cambridgeshire,52.2053,0.1218,5.942857143,1019.914286,10.577323215000003,1.0
Week 48 (2020),11/23/2020,Northumberland,52.4,0.7,5.828571429,1019.914286,10.577323215000003,1.0
Week 48 (2020),11/23/2020,Dorset,50.7488,2.3445,8.1,1020.957143,14.2,3.5
Week 48 (2020),11/23/2020,Devon,50.7156,3.5309,6.271428571,1021.414286,10.577323215000003,1.0
Week 48 (2020),11/23/2020,Warwickshire,52.2671,1.4689,6.6,1020.014286,12.0,1.0
Week 48 (2020),11/23/2020,Northumberland,52.4,0.7,5.828571429,1019.914286,10.577323215000003,2.0
Week 48 (2020),11/23/2020,Cumbria,54.5772,2.7975,9.342857143,1019.542857,24.11428571,3.5
Week 48 (2020),11/23/2020,Lancashire,53.76,2.7,9.314285714,1019.957143,22.75714286,3.5
Week 49 (2020),11/30/2020,Gwent,51.7,3.0,10.12843166,1015.098261,19.80559404,3.0
