Week number,Start Date,Location (county),Latitude,Longitude,AvgTemp,AvgPressure,AvgWindSpeed,Total number of birds testing positive
Week 51 (2016),12/19/2016,Carmarthenshire,-0.44039833043021065,0.9719918074756781,-2.0583227461356435,2.0209127366102924,1.5000000000000009,1.0
Week 51 (2016),12/19/2016,Dumfries and Galloway,0.6145857297794707,0.7411674347158217,0.0,0.0,0.0,1.0
Week 51 (2016),12/19/2016,Leicestershire,-0.18506589542183097,-0.5210957501280084,-1.5619723813548878,2.0209127366102924,-0.39239506714412015,1.0
Week 51 (2016),12/19/2016,Somerset,-0.6901764879876422,0.43138760880696353,-2.270001578121897,2.0209127366102924,-0.4659268736838359,1.0
Week 52 (2016),12/26/2016,Lincolnshire,0.011305748184177851,-0.8292370711725551,-2.3612424540044703,2.0209127366102924,-0.23372116953448818,3.5
Week 52 (2016),12/26/2016,Gloucestershire,-0.4390179774542362,0.04132104454685088,0.0,0.0,0.0,3.5
Week 52 (2016),12/26/2016,Merseyside,0.06849180004601085,0.42708653353814635,0.981823239487724,1.1170666010377504,1.5000000000000009,3.5
Week 1 (2017),1/2/2017,Dorset,-0.8056002892168131,0.09575012800819244,-2.3612424540044703,2.0209127366102924,-0.23759126347486606,3.5
Week 1 (2017),1/2/2017,Devon,-0.8165116508364275,0.7032258064516127,-2.3612424540044703,2.0209127366102924,-2.5,1.0
Week 1 (2017),1/2/2017,Conwy,0.026292437637623886,0.8563748079877112,-1.8612424540044694,2.0209127366102924,1.5000000000000009,1.0
Week 2 (2017),1/9/2017,Wales,-0.3514312945738996,0.8326676907322068,-2.2918993884154664,-1.4655123318773253,1.5000000000000009,1.0
Week 2 (2017),1/9/2017,Dorset,-0.8056002892168131,0.09575012800819244,-2.072921286501672,-0.2317265958494736,1.5000000000000009,1.0
Week 2 (2017),1/9/2017,Lancashire,0.18404706346336955,0.27777777777777773,-1.9780307753998556,-1.9790872633897079,1.5000000000000009,1.0
Week 2 (2017),1/9/2017,Tyne & Wear,0.5844480231373426,-0.2765488991295444,0.0,0.0,0.0,1.0
week 2 (2017),1/9/2017,Northants,-0.3155092516514936,-0.6438812083973375,-2.3612424540044703,-0.945150409721725,0.46289594833168574,1.0
Week 2 (2017),1/9/2017,Gloucestershire,-0.4390179774542362,0.04132104454685088,0.0,0.0,0.0,1.0
Week 3 (2017),1/16/2017,Dorset,-0.8056002892168131,0.09575012800819244,-2.3612424540044703,2.0209127366102924,-2.1532883382841126,1.0
Week 3 (2017),1/16/2017,Somerset,-0.6901764879876422,0.43138760880696353,-2.3612424540044703,2.0209127366102924,-2.5,1.0
Week 4 (2017),1/23/2017,North Yorkshire,0.3286554704703056,-0.439068100358423,0.0,0.0,0.0,1.0
Week 5  (2017),1/30/2017,Lancashire ,0.18404706346336955,0.27777777777777773,-1.8539431840769296,-1.9790872633897079,1.5000000000000009,1.0
Week 6 (2017),2/6/2017,Norfolk,-0.18703782824465287,-0.4403993855606759,-2.3612424540044703,2.0209127366102924,-1.746928352636422,1.0
Week 7 (2017),2/13/2017,Norfolk,-0.18703782824465287,-0.4403993855606759,-1.5181767607677494,2.0209127366102924,-0.949688762520686,1.0
Week 8 (2017),2/20/2017,Norfolk,-0.18703782824465287,-0.4403993855606759,-0.5254760306952904,-1.9790872633897079,1.3723682979362504,1.0
Week 9 (2017),2/27/2017,Pembroke ,-0.5014953823906393,1.406810035842294,-1.4670818702530712,-1.9790872633897079,-0.3343436417840504,1.0
Week 11 (2017),3/13/2017,Somerset,-0.6901764879876422,0.43138760880696353,-0.6641621618732964,2.0209127366102924,-0.09826784098525798,1.0
Week 2 (2018),1/8/2018,Dorset,-0.8056002892168131,0.09575012800819244,-2.3612424540044703,0.6973833621093631,-1.5147226484870748,3.5
Week 3 (2018),1/15/2018,Hertfordshire,-0.44927202813290923,-0.9982078853046595,-2.3612424540044703,-1.9790872633897079,-0.10600803157508051,3.5
Week 4 (2018),1/22/2018,West Yorkshire,0.1971932822821815,-0.20865335381464423,0.0,0.0,0.0,1.0
Week 4 (2018),1/22/2018,Rutland,-0.17527196240181533,-0.7804403481822838,-1.6933592426053539,-0.1623451962739547,0.5364277575804683,3.5
Week 4 (2018),1/22/2018,Greater London,-0.5562822493180412,-1.0392729134664618,-0.2700015781218982,2.0209127366102924,-0.2608118352443346,2.0
Week 5 (2018),1/29/2018,Berkshire,-0.5718605186183324,-0.5926779313876089,-2.3612424540044703,-0.2392682244675079,0.044925678153794744,3.5
Week 5 (2018),1/29/2018,Surrey,-0.6441647221217992,-0.8026113671274963,0.4526261569673442,2.0209127366102924,-1.4721516015975833,2.0
Week 5 (2018),1/29/2018,Hertfordshire,-0.6441647221217992,-0.9982078853046595,-2.3612424540044703,0.04579963593666266,-0.7523139119619414,1.0
Week 5 (2018),1/29/2018,Surrey,-0.6441647221217992,-0.8026113671274963,0.4526261569673442,2.0209127366102924,-1.4721516015975833,1.0
Week 5 (2018),1/29/2018,Warwickshire,-0.30660268840174926,-0.35258576548899134,-0.9871548630647554,-0.4924357243241701,-0.6611731727108263,1.0
Week 7 (2018),2/12/2018,Oxfordshire,-0.4728366253656301,-0.4665130568356376,0.0,0.0,0.0,1.0
Week 9 (2018),2/26/2018,Surrey,-0.6441647221217992,-0.8026113671274963,0.4526261569673442,2.0209127366102924,-1.4721516015975833,2.0
Week 9 (2018),2/26/2018,Lincolnshire,0.011305748184177851,-0.8292370711725551,-2.3612424540044703,-1.5650599291828429,1.5000000000000009,3.5
Week 9 (2018),2/26/2018,Devon,-0.8165116508364275,0.7032258064516127,-2.3612424540044703,-1.9790872633897079,-0.26855202583415716,1.0
Week 9 (2018),2/26/2018,Suffolk,-0.33286226049232737,-0.6076292882744496,-2.3612424540044703,-1.9790872633897079,-0.016995843855719672,1.0
Week 9 (2018),2/26/2018,South Glamorgan,-0.5652874092089276,0.5235535074244752,-2.3612424540044703,-1.9790872633897079,1.5000000000000009,1.0
Week 9 (2018),2/26/2018,Hampshire,-0.7040786143885376,-0.434920634920635,-2.3612424540044703,-1.9790872633897079,1.5000000000000009,1.0
Week 13 (2018),3/26/2018,Suffolk,-0.33286226049232737,-0.6076292882744496,-2.3612424540044703,-1.9790872633897079,-1.9752639655544577,2.0
Week 14 (2018),4/2/2018,Suffolk ,-0.33286226049232737,-0.6076292882744496,-0.5400745710613192,-1.9790872633897079,-0.5123680172227711,2.0
Week 16 (2018),4/16/2018,Suffolk ,-0.33286226049232737,-0.6076292882744496,1.6387575459955297,1.4620893003580053,-1.185764563319478,1.0
Week 45 (2020),11/2/2020,Gloucestershire,-0.4390179774542362,0.04132104454685088,0.0,0.0,0.0,2.0
Week 46 (2020),11/9/2020,Gloucestershire,-0.4390179774542362,0.04132104454685088,0.0,0.0,0.0,1.0
Week 46 (2020),11/9/2020,Devon,-0.8165116508364275,0.7032258064516127,0.722699150417715,0.7335825459917518,-1.3521786542279988,3.5
Week 46 (2020),11/9/2020,Lincolnshire,0.011305748184177851,-0.8292370711725551,0.32853856717726493,-1.3569150969721895,1.3452776322264048,3.5
Week 46 (2020),11/9/2020,Lancashire,0.18404706346336955,0.27777777777777773,0.9562757942303844,-0.6103087506647776,1.5000000000000009,1.0
Week 46 (2020),11/9/2020,Lancashire,0.18404706346336955,0.27777777777777773,0.9562757942303844,-0.6103087506647776,1.5000000000000009,1.0
Week 46 (2020),11/9/2020,Gloucestershire,-0.4390179774542362,0.04132104454685088,0.0,0.0,0.0,3.5
Week 46 (2020),11/9/2020,Dorset,-0.8056002892168131,0.09575012800819244,1.131458274535142,0.16344682518341067,-0.5626792519930193,1.0
Week 47 (2020),11/16/2020,Essex,-0.468005389949715,-1.013056835637481,-0.554673110916399,2.0209127366102924,-0.11374821945583721,1.0
